"first_author","year","title","doi"
"Schmidt, DN",2003,"Response of planktic foraminiferal size to late Quaternary climate change (vol 18, pg 1066, 2003)","10.1029/2003PA000941"
"Brunelle, A",2003,"Sedimentary charcoal as an indicator of late-Holocene drought in the Sierra Nevada, California, and its relevance to the future","10.1191/0959683603hl591rp"
"Payne, R",2007,"Laboratory experiments on testate amoebae preservation in peats: Implications for palaeoecology and future studies",""
"Faison, EK",2006,"Early Holocene openlands in southern New England","10.1890/0012-9658(2006)87[2537:EHOISN]2.0.CO;2"
"Sanborn, P",2006,"Soil and sedimentary charcoal evidence for Holocene forest fires in an inland temperate rainforest, east-central British Columbia, Canada","10.1191/0959683606hl937rp"
"Haberyan, KA",2005,"Diatom paleoecology of Laguna Zoncho, Costa Rica","10.1007/s10933-004-6789-4"
"Leuschner, HH",2007,"Environmental change, bog history and human impact around 2900 BC in NW Germany-preliminary results from a dendroecological study of a sub-fossil pine woodland at Campemoor, Dummer Basin","10.1007/s00334-006-0084-4"
"Martin-Closas, C",2005,"Plant taphonomy and paleoecology of Late Pennsylvanian intramontane wetlands in the Graissessac-Lodeve basin (Languedoc, France)","10.2110/palo.2003.p03-119"
"Williams, NJ",2006,"The vegetation history of the last glacial-interglacial cycle in eastern New South Wales, Australia","10.1002/jqs.1069"
"Causey, D",2005,"The palaeoenvironment of humans and marine birds of the Aleutian Islands: three millennia of change","10.1111/j.1365-2419.2005.00365.x"
"Turney, CSM",2006,"Climatic variability in the southwest Pacific during the Last Termination (20-10 kyr BP)","10.1016/j.quascirev.2005.09.007"
"Schlutz, F",2004,"Palynological investigations on vegetation and climate change in the Late Quaternary of Lake Rukche area, Gorkha Himal, Central Nepal","10.1007/s00334-004-0035-x"
"Bradshaw, RHW",2003,"A long-term perspective on ungulate-vegetation interactions","10.1016/S0378-1127(03)00138-5"
"Yu, ZC",2006,"Holocene carbon accumulation of fen peatlands in boreal western Canada: A complex ecosystem response to climate variation and disturbance","10.1007/s10021-006-0174-2"
"Davis, MB",2005,"Evolutionary responses to changing climate","10.1890/03-0788"
"Haberle, SG",2003,"Late quaternary vegetation dynamics and human impact on Alexander Selkirk Island, Chile","10.1046/j.1365-2699.2003.00780.x"
"Sharma, S",2005,"Stable isotope ratios in swale sequences of Lake Superior as indicators of climate and lake level fluctuations during the Late Holocene","10.1016/j.quascirev.2004.11.009"
"Wang, Y",2005,"A 25 m.y. isotopic record of paleodiet and environmental change from fossil mammals and paleosols from the NE margin of the Tibetan Plateau","10.1016/j.epsl.2005.05.006"
"Leyden, JJ",2006,"Stable hydrogen isotopes of bison bone collagen as a proxy for Holocene climate on the Northern Great Plains","10.1016/j.palaeo.2006.01.009"
"Gandouin, E",2006,"Chironomid (Insecta : Diptera) assemblages from a gradient of lotic and lentic waterbodies in river floodplains of France: A methodological tool for paleoecological applications","10.1007/s10933-005-8149-4"
"Grosjean, M",2003,"From proxy data to paleoclimate interpretation: the mid-Holocene paradox of the Atacama Desert, northern Chile","10.1016/S0031-0182(03)00280-3"
